Latitude,Longitude,Tweets
25,-99,vaccine selfies have bad vibes to me'
25,-99,"please everyone get your vaccine so we can mosh to whole lotta red, thanks.'"
25,-82,The drug companies came up with a vaccine for Covid19 in months but have been working on a cure for Cancer all these years and still haven't found one. What's wrong with that picture ?  Biden said he's going to find a cure fot csncer but he can't even find his own shoes.'
25,-82,  Just a thought but  I'll bet everyone is getting a vaccine shot so that when they arrive they won't have to worry about getting sick from us'
25,-82,Q. Did you take the vaccine because you knowingly wanted to modify your DNA?A. I did not know that. I did not read up on the vaccine before I took it. Does it really do that???'
25,-82,Q. Do you know that you can still spread Covid to others?A. Yes. Q. So you know that you still have to wear a mask (or two!) and social distance?A. Yes.Q. Then why did you take the vaccine?A. [Silence]'
25,-82,Lin Wood Telegram.Have you had the conversation below where you asked these questions to a work colleague or friend lately?Q. Did you take the Covid vaccine?A: Yes. Q. Do you know that you can still get Covid?A. Yes.'
25,-82,"PLEASE don't even TRY to rewrite history. First Potus has been OVER generous to the past administration. Second, the WORK on this type of vaccine has gone on for years. The fact that failed 45 decided to disregard the virus and NOW YOU try to blame 46 is laughable and pathetic "
25,-82,Indonesian Nurse Dies After Receiving Chinese-Made COVID-19 Vaccine 
25,-82,Find out how to schedule your Covid-19 vaccine.Go to 
25,-82,Johnson and Johnson Spinning Up Single-Dose COVIDVaccine 
25,-82,54-Year-Old Man in Delhi Dies After Taking AstraZeneca's COVID Vaccine + More  Children's Health Defense 
25,-82," Ugh. Key Wester here; I biked through the tourist part of town yesterday and it looked like any pre-COVID spring day. Block-long line of people at the Southernmost Point, and jam-packed hotel parking lots. Frustrating, especially with our vaccine distribution slowed to a crawl.'"
25,-82,Investigation: MP's and SAGE heavily invested in Vaccine industry  The Daily Expose 
25,-82,SNL's Michael Che said Israel only vaccinated its Jewish half.' Critics call the joke an antisemitic trope.'By Timothy Bella
25,-82, congrats to doing a great job getting the covid19 vaccine out but Monroe County seems to be left out especially hard hit areas like keywest'
25,-82,White House Enlists Social Media Giants to Suppress Vaccine Misinformation'  Children's Health Defense 
25,-82,"Johns Hopkins Doc: COVID Will Be Largely Gone By April, Half of U.S. Has Herd Immunity  Children's Health Defense "
25,-82, Got my call from Florida DOH today for my vaccine appt in Monroe Co'
25,-82, can the Hudson valley get a big vaccine center for everyone ? It's too hard to find appointments.'
25,-82,"RT : In Monroe, 10,752 people have received the COVID19 vaccine, with 5,624 completing both doses. "
25,-82,"In Monroe, 10,752 people have received the COVID19 vaccine, with 5,624 completing both doses. "
25,-82, _iii I want to know how Florida is at 11% when I haven't seen a place yet that is offering the vaccine. All I see are a bunch of signs saying they do not have the vaccine.'
25,-82,Also - the link: 
25,-82, Good morning Mr President. We live in the FL Keys and it is impossible for my husband and I to get appointments for the coronavirus vaccine even though we are of the priority age and with preexisting health conditions. Can you help? Thanks and God bless.'
25,-82, Nice distraction since we are not even 30th in the world with the vaccine rollout. PATHETIC'
25,-82,RT : Husb and I are double dosed now. If that isn't the best birthday gift I don't know what is.  Get your vaccine ASAP.'
25,-82,How CDC Misled on COVID Vaccine Efficacy  Children's Health Defense 
25,-82,"1 Yes, some of my relatives in the UK have had the vaccine. My mother is due for her second shot this week. most of the people we know are not old enough or in risky enough occupations.'"
25,-82, had to do damage control after this was leaked. There is no way to know if this can penetrate the cells in the long term. Say NO to the vaccine  
25,-81,I always enjoy spending time with  that leads enterprise networking and cloud for . We recently discussed the company's efforts to facilitate covid19 vaccine distribution with  
25,-81,Find out how to schedule your Covid-19 vaccine.Go to 
25,-81, and now he'll have a tantrum and threatened to pull the vaccine'
25,-81,Looking for answers to your COVID Vaccine questions? Join us tomorrow!  
25,-81,Meghan McCain calls for Biden to replace Dr. Fauci over inconsistent' coronavirus vaccine messaging
25,-81,RT 1031: I want my Fauci Ouchie but I live in FloriDuh... DeathSantis needs to up the vaccine distribution. Until we can RemoveRo'
25,-81,But do we still need to wear 5 masks? FireFauci 
25,-81,I want my Fauci Ouchie but I live in FloriDuh... DeathSantis needs to up the vaccine distribution. Until we can RemoveRon Floridians are f**ked!'
25,-81, Good morning Mr President. We live in the FL Keys and it is impossible for my husband and I to get appointments for the coronavirus vaccine even though we are of the priority age and with preexisting health conditions. Can you help? Thanks and God bless.'
25,-81,RemoveRon for his failure to distribute vaccines properly in Florida. DeSantisIsACriminal DeSantisCovidCoverUp 
25,-81,"1 Yes, some of my relatives in the UK have had the vaccine. My mother is due for her second shot this week. most of the people we know are not old enough or in risky enough occupations.'"
25,-80,I always enjoy spending time with  that leads enterprise networking and cloud for . We recently discussed the company's efforts to facilitate covid19 vaccine distribution with  
25,-80, and now he'll have a tantrum and threatened to pull the vaccine'
25,-80,Looking for answers to your COVID Vaccine questions? Join us tomorrow!  
25,-80,Meghan McCain calls for Biden to replace Dr. Fauci over inconsistent' coronavirus vaccine messaging
25,-80,RT 1031: I want my Fauci Ouchie but I live in FloriDuh... DeathSantis needs to up the vaccine distribution. Until we can RemoveRo'
25,-80,I want my Fauci Ouchie but I live in FloriDuh... DeathSantis needs to up the vaccine distribution. Until we can RemoveRon Floridians are f**ked!'
25,-80,RemoveRon for his failure to distribute vaccines properly in Florida. DeSantisIsACriminal DeSantisCovidCoverUp 
25,-77,RT 4D:  Imagine thinking THIS government is going to use a vaccine (chip) to spy on us... when we can't even use ou'
25,-77,RT : PAHO: Bahamas positioned to make 'best decision' with vaccinedistribution 
25,-77,P.M The Most Hon. Dr. Hubert Minnis on the arrival of the COVID-19 vaccine.  
25,-77, I just waiting for my turn for the vaccine....done then books flights...lol'
25,-77, One of the fascinating things is how little skepticism there was around another pharmaceutical product when one of the vaccine manufacturers created. 
25,-77,RT _Hvrry: Lol even UB is require that you take a vaccine to attend..'
25,-77,RT _Hvrry: Lol even UB is require that you take a vaccine to attend..'
25,-77,RT _Hvrry: Lol even UB is require that you take a vaccine to attend..'
25,-77,"RT 1908: Im not an antivaxer but I don't take the flu shot.  I wouldn't mind taking the covid vaccine, but will it be like the flu'"
25,-77,RT _Hvrry: Lol even UB is require that you take a vaccine to attend..'
25,-77,RT _Hvrry: Lol even UB is require that you take a vaccine to attend..'
25,-77,Lol even UB is require that you take a vaccine to attend..'
25,-77,RT 4D:  Imagine thinking THIS government is going to use a vaccine (chip) to spy on us... when we can't even use ou'
25,-77,RT 4D:  Imagine thinking THIS government is going to use a vaccine (chip) to spy on us... when we can't even use ou'
25,-77,RT 4D:  Imagine thinking THIS government is going to use a vaccine (chip) to spy on us... when we can't even use ou'
25,-77, Imagine thinking THIS government is going to use a vaccine (chip) to spy on us... when we can't even use our NIB 'smart card' to vote 
25,-77,"Im not an antivaxer but I don't take the flu shot.  I wouldn't mind taking the covid vaccine, but will it be like the flu shot? Next year, different covid, different vax? Genuine question. Call me dumb, that's fine, I didn't go to medical school. "
25,-77," Thank you for the Vaccine response but who will  be injecting the Vaccine, Medical Professionals? How much Vaccine Is in the first dose and  is everyone  injected with the same amount. Are the Syringes  Ultra Fine 1/2 CC or 1 CC. Please check and advise.'"
25,-77,PAHO: Bahamas positioned to make 'best decision' with vaccinedistribution 
25,-77,Minister of Health Hon. Renward Wells explains more on the COVID-19 vaccine here.  
25,-77,     Can you please help assuage my concerns re. the AstraZeneca vaccine distributed in this region; given that it's an Ad5 vectored vaccine and there are scientific reports that this type of vaccine increases risk of HIV-1 in men? Please advise.'
25,-77,   Can you please help assuage my concerns re. the AstraZeneca vaccine distributed in this region; given that it's an Ad5 vectored vaccine...while there are scientific reports that this type of vaccine increases risk of HIV-1 in men? I respect your COVID analyses. 
25,-77,"I in the line now and just shocked to hear these people complain over 5G in The Bahamas, COVID and the vaccine ! Wow "
25,-77,'NO HESITATION': Sir Arthur will take COVID-19vaccine 
25,-77,Min. of Health Hon. Renward Wells provides an update on the arrival of the COVID-19 vaccine. 
25,-77,RT 242: Wells: Vaccine will be in the country by end of the week 
25,-77,RT 242: Wells: Vaccine will be in the country by end of the week 
25,-77,RT 242: Wells: Vaccine will be in the country by end of the week 
25,-77,RT 242: Wells: Vaccine will be in the country by end of the week 
25,-77,Wells: Vaccine will be in the country by end of the week 
25,-77,@_SonofMan If I see another 'whose taking the vaccine' '
25,-77,RT : Imma take the vaccine '
25,-77,RT : Imma take the vaccine '
25,-77,"WHERE IS THE VACCINE, WELLS? WHAT'S THE PLAN? "
25,-77,RT : Imma take the vaccine '
25,-77,Imma take the vaccine '
25,-77,"Healthcare workers, people over the age of 65, uniformed branch members and frontline workers will be among the first priority groups eligible to receive the COVID-19 vaccine. "
25,-77,UK scientists: Vaccine passport feasible but must meet 'demanding criteria' 
25,-77,It actually makes sense because it feeds their agenda.  Which is ; take the  free vaccine and you wouldn't need to pay for a test 
25,-77,"LIFE OR DEATH: PM urges Bahamians to takevaccine 26,-104:"
25,-77, Yeah and Biden and Harris campaigned on not trusting the vaccine bc it was Trumps'
25,-77, Would've taken Biden Harris a year to name a suitably diverse panel to study a pathway to a vaccine'
