Latitude,Longitude,Tweets
8,78,Genuinely curious as to which vaccine Modi and the rest of his cronies will use 
8,79,Genuinely curious as to which vaccine Modi and the rest of his cronies will use 
8,80,"So far over 400,000 Sri Lankans vaccinated.All residents above 30 in high risk areas in Colombo and Gampaha to receive vaccine coming days."
8,80, Great to hear all well with you. I guess the rollout of the vaccine will gradually cover all areas of the country soon. People are now very keen to get it unlike the west.'
8,80,_mathew Might be as my fitness trainer has so many of her clients including my daughter who have taken the vaccine.'
8,80,More vaccines arrive in Sri Lanka even as Covid Minister Sudharshini Fernandopulle claims there are discrepancies  in the vaccination process COVID19Vaccine AstraZeneca vaccine coronavirus COVID19'
8,80,"Thanks to the  free healthcare, Thanks to the health authorities for the quick and efficient vaccine rollout, Thanks to the scientists who worked day and night tirelessly to find out the Oxford Azrezeneca,Thanks to   the for the neighbourhood. Immu. initiative "
8,80, COVID VACCINE FOR CANCER PATIENTS  SriLanka College of Oncologists have issued a statement saying the COVID19 vaccine can be received by patients who have completed chemotherapy.See complete statement below lka SriLanka COVID19SL vaccines COVID19LK 
8,80, Get a life people.  When the winter comes in cold weather it will be worse. When summer comes in warm weather it will be worse. This is a pandemic just like war.  You have the vaccine and get that done and let the people live their lives.'
8,80,"The single-shot Johnson and Johnson vaccine   is highly effective in preventing severe COVID19, including the South African and Brazil variants - AFP "
8,80,"  Yes there is an alternative, your Grama Sevaka has to certify and issue you a letter saying that you're eligible for the vaccine since you actually reside in Colombo.'"
8,80," Oh also before I forget, they don't give the vaccine to anyone aged less than 30 years.'"
8,80,"These are outages, how does the government or anyone get to choose who will get the vaccine and who won't as they wish bypassing the scientific criteria?lka SriLanka COVID19 "
8,80, Thank you for the update. Guess I will wait and wait and wait. Perhaps I will go to Singapore to get my vaccine'
8,81,"So far over 400,000 Sri Lankans vaccinated.All residents above 30 in high risk areas in Colombo and Gampaha to receive vaccine coming days."
8,81, Great to hear all well with you. I guess the rollout of the vaccine will gradually cover all areas of the country soon. People are now very keen to get it unlike the west.'
8,81,_mathew Might be as my fitness trainer has so many of her clients including my daughter who have taken the vaccine.'
8,81,More vaccines arrive in Sri Lanka even as Covid Minister Sudharshini Fernandopulle claims there are discrepancies  in the vaccination process COVID19Vaccine AstraZeneca vaccine coronavirus COVID19'
8,81,"Thanks to the  free healthcare, Thanks to the health authorities for the quick and efficient vaccine rollout, Thanks to the scientists who worked day and night tirelessly to find out the Oxford Azrezeneca,Thanks to   the for the neighbourhood. Immu. initiative "
8,81, COVID VACCINE FOR CANCER PATIENTS  SriLanka College of Oncologists have issued a statement saying the COVID19 vaccine can be received by patients who have completed chemotherapy.See complete statement below lka SriLanka COVID19SL vaccines COVID19LK 
8,81, Get a life people.  When the winter comes in cold weather it will be worse. When summer comes in warm weather it will be worse. This is a pandemic just like war.  You have the vaccine and get that done and let the people live their lives.'
8,81,"The single-shot Johnson and Johnson vaccine   is highly effective in preventing severe COVID19, including the South African and Brazil variants - AFP "
8,81,"  Yes there is an alternative, your Grama Sevaka has to certify and issue you a letter saying that you're eligible for the vaccine since you actually reside in Colombo.'"
8,81," Oh also before I forget, they don't give the vaccine to anyone aged less than 30 years.'"
8,81,"These are outages, how does the government or anyone get to choose who will get the vaccine and who won't as they wish bypassing the scientific criteria?lka SriLanka COVID19 "
